,values,activities,category,level_of_difficulty,related_mood,km4,km5,km8,agg4,agg5,agg8,gmm4,gmm5,gmm8
0,0,Upcycling/Recycling old items,2,0,10,3,0,3,2,0,5,2,4,5
1,0,Participate in communal activities,1,2,4,1,3,1,0,4,4,3,2,0
2,0,Making donations,2,1,17,2,4,7,1,1,0,1,1,4
3,0,Volunteering for a cause you support,2,2,4,1,3,1,0,4,4,3,2,0
4,0,Donating old clothes or items to charity,2,0,3,1,3,1,0,4,4,3,2,0
5,0,Doing a favour,2,2,4,1,3,1,0,4,4,3,2,0
6,0,Helping in shelter homes,2,1,10,3,0,3,2,0,5,2,4,5
7,0,Joining a community choir,1,2,4,1,3,1,0,4,4,3,2,0
8,0,Participate in a communal clean-up,2,2,16,2,4,7,1,1,0,1,1,4
9,0,Teaching a special skill to soemone else,0,3,4,1,3,1,0,4,4,3,2,0
10,1,Clearing debts,2,3,17,2,4,7,1,1,0,1,1,4
11,1,Getting to know your peers,2,2,4,1,3,1,0,4,4,3,2,0
12,1,Creative experiments,2,1,19,2,4,7,1,1,0,1,1,4
13,1,Applying for a promotion,0,3,7,3,3,1,0,4,4,3,2,0
14,1,Planning a career change,0,3,17,2,4,7,1,1,0,1,1,4
15,2,Having a family get together,1,1,10,3,0,3,2,0,5,2,4,5
16,2,Calling a family member,2,0,17,2,4,7,1,1,0,1,1,4
17,2,Doing an activity with the family,2,1,10,3,0,3,2,0,5,2,4,5
18,2,Scheduling play time with kids,2,2,17,2,4,7,1,1,0,1,1,4
19,2,Having at least one meal a day with the family,2,0,0,1,2,4,0,2,2,0,3,6
20,2,Sending a card to a loved one,2,0,10,3,0,3,2,0,5,2,4,5
21,2,Going on a picnic,1,2,4,1,3,1,0,4,4,3,2,0
22,2,Talking to an elderly member of the family,2,0,4,1,3,1,0,4,4,3,2,0
23,2,Planning a random surprise ,1,0,9,3,0,3,2,0,5,2,4,5
24,2,Having  honest conversations with the family,2,1,3,1,3,1,0,4,4,3,2,0
25,3,Going on a date,1,2,10,3,0,3,2,0,5,2,4,5
26,3,Going to a movie,1,2,2,1,2,4,0,2,2,0,3,6
27,3,Calling a friend,2,0,10,3,0,3,2,0,5,2,4,5
28,3,Listening to others,2,0,4,1,3,1,0,4,4,3,2,0
29,3,Spending time with friends,1,0,6,3,3,1,2,0,1,2,2,7
30,3,Meeting new people,1,1,4,1,3,1,0,4,4,3,2,0
31,3,Going to a party,1,2,1,1,2,4,0,2,2,0,3,6
32,3,Having a deep conversation with a friend,2,1,3,1,3,1,0,4,4,3,2,0
33,3,Hosting a trivia/quiz night,1,0,9,3,0,3,2,0,5,2,4,5
34,3,Texting a friend,2,0,10,3,0,3,2,0,5,2,4,5
35,3,Contacting an old school friend ,2,2,4,1,3,1,0,4,4,3,2,0
36,3,Planning a nice surprise for someone else,2,2,4,1,3,1,0,4,4,3,2,0
37,3,Talking/introducing yourself to a neighbour,2,2,9,3,0,3,2,0,5,2,4,5
